year,stock,capture,index
1950,Callinectes sapidus,50,NA
1950,Centropomus spp,3000,NA
1950,Coryphaena hippurus,1003,NA
1950,Hirundichthys affinis,1800,NA
1950,Lobatus gigas,25,NA
1950,Lobatus gigas2,7,NA
1950,Lobatus gigas3,150,NA
1950,Lobatus gigas4,8,NA
1950,Lobatus gigas5,530,NA
1950,Lobatus gigas6,9,NA
1950,Lutjanus campechanus,200,NA
1950,Menticirrhus littoralis,1432,NA
1950,Mugil cephalus,175,NA
1950,Octopus spp,50,NA
1950,Opisthonema oglinum,3000,NA
1950,Panulirus argus,1300,NA
1950,Panulirus argus2,300,NA
1950,Panulirus argus3,807,NA
1950,Sardinella aurita,17000,NA
1950,Thunnus atlanticus,900,NA
1951,Callinectes sapidus,100,NA
1951,Centropomus spp,3000,NA
1951,Coryphaena hippurus,1012,NA
1951,Hirundichthys affinis,1800,NA
1951,Lobatus gigas,50,NA
1951,Lobatus gigas2,10,NA
1951,Lobatus gigas3,250,NA
1951,Lobatus gigas4,10,NA
1951,Lobatus gigas5,530,NA
1951,Lobatus gigas6,10,NA
1951,Lutjanus campechanus,300,NA
1951,Menticirrhus littoralis,1616,NA
1951,Mugil cephalus,200,NA
1951,Octopus spp,100,NA
1951,Opisthonema oglinum,3000,NA
1951,Panulirus argus,1100,NA
1951,Panulirus argus2,300,NA
1951,Panulirus argus3,1505,NA
1951,Sardinella aurita,16000,NA
1951,Thunnus atlanticus,900,NA
1952,Callinectes sapidus,150,NA
1952,Centropomus spp,3000,NA
1952,Coryphaena hippurus,1312,NA
1952,Hirundichthys affinis,2600,NA
1952,Lobatus gigas,100,NA
1952,Lobatus gigas2,13,NA
1952,Lobatus gigas3,350,NA
1952,Lobatus gigas4,12,NA
1952,Lobatus gigas5,530,NA
1952,Lobatus gigas6,11,NA
1952,Lutjanus campechanus,400,NA
1952,Menticirrhus littoralis,2390,NA
1952,Mugil cephalus,225,NA
1952,Octopus spp,150,NA
1952,Opisthonema oglinum,3000,NA
1952,Panulirus argus,1300,NA
1952,Panulirus argus2,300,NA
1952,Panulirus argus3,831,NA
1952,Sardinella aurita,13000,NA
1952,Thunnus atlanticus,900,NA
1953,Callinectes sapidus,200,NA
1953,Centropomus spp,3000,NA
1953,Coryphaena hippurus,1313,NA
1953,Hirundichthys affinis,2300,NA
1953,Lobatus gigas,150,NA
1953,Lobatus gigas2,16,NA
1953,Lobatus gigas3,450,NA
1953,Lobatus gigas4,14,NA
1953,Lobatus gigas5,530,NA
1953,Lobatus gigas6,12,NA
1953,Lutjanus campechanus,500,NA
1953,Menticirrhus littoralis,2241,NA
1953,Mugil cephalus,250,NA
1953,Octopus spp,200,NA
1953,Opisthonema oglinum,3000,NA
1953,Panulirus argus,1200,NA
1953,Panulirus argus2,300,NA
1953,Panulirus argus3,1005,NA
1953,Sardinella aurita,12400,NA
1953,Thunnus atlanticus,1000,NA
1954,Callinectes sapidus,250,NA
1954,Centropomus spp,3300,NA
1954,Coryphaena hippurus,1114,NA
1954,Hirundichthys affinis,1800,NA
1954,Lobatus gigas,200,NA
1954,Lobatus gigas2,19,NA
1954,Lobatus gigas3,500,NA
1954,Lobatus gigas4,16,NA
1954,Lobatus gigas5,530,NA
1954,Lobatus gigas6,13,NA
1954,Lutjanus campechanus,600,NA
1954,Menticirrhus littoralis,2209,NA
1954,Mugil cephalus,275,NA
1954,Octopus spp,250,NA
1954,Opisthonema oglinum,3000,NA
1954,Panulirus argus,1800,NA
1954,Panulirus argus2,600,NA
1954,Panulirus argus3,983,NA
1954,Sardinella aurita,8400,NA
1954,Thunnus atlanticus,1200,NA
1955,Callinectes sapidus,300,NA
1955,Centropomus spp,3700,NA
1955,Coryphaena hippurus,1105,NA
1955,Hirundichthys affinis,2000,NA
1955,Lobatus gigas,250,NA
1955,Lobatus gigas2,22,NA
1955,Lobatus gigas3,550,NA
1955,Lobatus gigas4,18,NA
1955,Lobatus gigas5,530,NA
1955,Lobatus gigas6,14,NA
1955,Lutjanus campechanus,700,NA
1955,Menticirrhus littoralis,1976,NA
1955,Mugil cephalus,300,NA
1955,Octopus spp,300,NA
1955,Opisthonema oglinum,3000,NA
1955,Panulirus argus,2300,NA
1955,Panulirus argus2,600,NA
1955,Panulirus argus3,1741,NA
1955,Sardinella aurita,17500,NA
1955,Thunnus atlanticus,600,NA
1956,Callinectes sapidus,350,NA
1956,Centropomus spp,5100,NA
1956,Coryphaena hippurus,1304,NA
1956,Hirundichthys affinis,2300,NA
1956,Lobatus gigas,300,NA
1956,Lobatus gigas2,25,NA
1956,Lobatus gigas3,600,NA
1956,Lobatus gigas4,20,NA
1956,Lobatus gigas5,530,NA
1956,Lobatus gigas6,15,NA
1956,Lutjanus campechanus,800,NA
1956,Menticirrhus littoralis,2081,NA
1956,Mugil cephalus,325,NA
1956,Octopus spp,350,NA
1956,Opisthonema oglinum,3318,NA
1956,Panulirus argus,4400,NA
1956,Panulirus argus2,600,NA
1956,Panulirus argus3,2112,NA
1956,Sardinella aurita,13700,NA
1956,Thunnus atlanticus,1000,NA
1957,Callinectes sapidus,400,NA
1957,Centropomus spp,3400,NA
1957,Coryphaena hippurus,1509,NA
1957,Hirundichthys affinis,2700,NA
1957,Lobatus gigas,350,NA
1957,Lobatus gigas2,28,NA
1957,Lobatus gigas3,650,NA
1957,Lobatus gigas4,22,NA
1957,Lobatus gigas5,530,NA
1957,Lobatus gigas6,16,NA
1957,Lutjanus campechanus,900,NA
1957,Menticirrhus littoralis,2043,NA
1957,Mugil cephalus,350,NA
1957,Octopus spp,400,NA
1957,Opisthonema oglinum,7055,NA
1957,Panulirus argus,6900,NA
1957,Panulirus argus2,900,NA
1957,Panulirus argus3,2532,NA
1957,Sardinella aurita,27300,NA
1957,Thunnus atlanticus,1200,NA
1958,Callinectes sapidus,450,NA
1958,Centropomus spp,2000,NA
1958,Coryphaena hippurus,1707,NA
1958,Hirundichthys affinis,3200,NA
1958,Lobatus gigas,400,NA
1958,Lobatus gigas2,31,NA
1958,Lobatus gigas3,700,NA
1958,Lobatus gigas4,24,NA
1958,Lobatus gigas5,530,NA
1958,Lobatus gigas6,17,NA
1958,Lutjanus campechanus,1000,NA
1958,Menticirrhus littoralis,1892,NA
1958,Mugil cephalus,375,NA
1958,Octopus spp,500,NA
1958,Opisthonema oglinum,2355,NA
1958,Panulirus argus,5600,NA
1958,Panulirus argus2,1400,NA
1958,Panulirus argus3,2040,NA
1958,Sardinella aurita,30400,NA
1958,Thunnus atlanticus,1900,NA
1959,Callinectes sapidus,500,NA
1959,Centropomus spp,3100,NA
1959,Coryphaena hippurus,1808,NA
1959,Hirundichthys affinis,2500,NA
1959,Lobatus gigas,450,NA
1959,Lobatus gigas2,34,NA
1959,Lobatus gigas3,750,NA
1959,Lobatus gigas4,26,NA
1959,Lobatus gigas5,530,NA
1959,Lobatus gigas6,18,NA
1959,Lutjanus campechanus,1100,NA
1959,Menticirrhus littoralis,1443,NA
1959,Mugil cephalus,400,NA
1959,Octopus spp,200,NA
1959,Opisthonema oglinum,2936,NA
1959,Panulirus argus,8300,NA
1959,Panulirus argus2,1500,NA
1959,Panulirus argus3,2242,NA
1959,Sardinella aurita,32000,NA
1959,Thunnus atlanticus,2000,NA
1960,Callinectes sapidus,550,NA
1960,Centropomus spp,2200,NA
1960,Coryphaena hippurus,1706,NA
1960,Hirundichthys affinis,2800,NA
1960,Lobatus gigas,500,NA
1960,Lobatus gigas2,37,NA
1960,Lobatus gigas3,800,NA
1960,Lobatus gigas4,28,NA
1960,Lobatus gigas5,530,NA
1960,Lobatus gigas6,19,NA
1960,Lutjanus campechanus,1200,NA
1960,Menticirrhus littoralis,1758,NA
1960,Mugil cephalus,425,NA
1960,Octopus spp,400,NA
1960,Opisthonema oglinum,5625,NA
1960,Panulirus argus,8400,NA
1960,Panulirus argus2,1700,NA
1960,Panulirus argus3,2192,NA
1960,Sardinella aurita,30600,NA
1960,Thunnus atlanticus,2000,NA
1961,Callinectes sapidus,600,NA
1961,Centropomus spp,2100,NA
1961,Coryphaena hippurus,1914,NA
1961,Hirundichthys affinis,2800,NA
1961,Lobatus gigas,550,NA
1961,Lobatus gigas2,40,NA
1961,Lobatus gigas3,850,NA
1961,Lobatus gigas4,30,NA
1961,Lobatus gigas5,530,NA
1961,Lobatus gigas6,20,NA
1961,Lutjanus campechanus,1300,NA
1961,Menticirrhus littoralis,1954,NA
1961,Mugil cephalus,450,NA
1961,Octopus spp,500,NA
1961,Opisthonema oglinum,1872,NA
1961,Panulirus argus,8700,NA
1961,Panulirus argus2,1800,NA
1961,Panulirus argus3,1972,NA
1961,Sardinella aurita,27900,NA
1961,Thunnus atlanticus,1700,NA
1962,Callinectes sapidus,650,NA
1962,Centropomus spp,4000,NA
1962,Coryphaena hippurus,1511,NA
1962,Hirundichthys affinis,2700,NA
1962,Lobatus gigas,600,NA
1962,Lobatus gigas2,43,NA
1962,Lobatus gigas3,900,NA
1962,Lobatus gigas4,32,NA
1962,Lobatus gigas5,1060,NA
1962,Lobatus gigas6,21,NA
1962,Lutjanus campechanus,1400,NA
1962,Menticirrhus littoralis,1867,NA
1962,Mugil cephalus,500,NA
1962,Octopus spp,500,NA
1962,Opisthonema oglinum,500,NA
1962,Panulirus argus,8000,NA
1962,Panulirus argus2,1900,NA
1962,Panulirus argus3,2324,NA
1962,Sardinella aurita,36700,NA
1962,Thunnus atlanticus,2300,NA
1963,Callinectes sapidus,700,NA
1963,Centropomus spp,3100,NA
1963,Coryphaena hippurus,1204,NA
1963,Hirundichthys affinis,1700,NA
1963,Lobatus gigas,650,NA
1963,Lobatus gigas2,46,NA
1963,Lobatus gigas3,950,NA
1963,Lobatus gigas4,34,NA
1963,Lobatus gigas5,1060,NA
1963,Lobatus gigas6,22,NA
1963,Lutjanus campechanus,1500,NA
1963,Menticirrhus littoralis,1722,NA
1963,Mugil cephalus,2000,NA
1963,Octopus spp,700,NA
1963,Opisthonema oglinum,500,NA
1963,Panulirus argus,7900,NA
1963,Panulirus argus2,2100,NA
1963,Panulirus argus3,2626,NA
1963,Sardinella aurita,39200,NA
1963,Thunnus atlanticus,2400,NA
1964,Callinectes sapidus,750,NA
1964,Centropomus spp,2700,NA
1964,Coryphaena hippurus,1213,NA
1964,Hirundichthys affinis,1500,NA
1964,Lobatus gigas,700,NA
1964,Lobatus gigas2,49,NA
1964,Lobatus gigas3,1050,NA
1964,Lobatus gigas4,36,NA
1964,Lobatus gigas5,1060,NA
1964,Lobatus gigas6,23,NA
1964,Lutjanus campechanus,1600,NA
1964,Menticirrhus littoralis,2130,NA
1964,Mugil cephalus,1800,NA
1964,Octopus spp,300,NA
1964,Opisthonema oglinum,500,NA
1964,Panulirus argus,7400,NA
1964,Panulirus argus2,2200,NA
1964,Panulirus argus3,2647,NA
1964,Sardinella aurita,42100,NA
1964,Thunnus atlanticus,2400,NA
1965,Callinectes sapidus,800,NA
1965,Centropomus spp,2500,NA
1965,Coryphaena hippurus,1115,NA
1965,Hirundichthys affinis,1600,NA
1965,Lobatus gigas,750,NA
1965,Lobatus gigas2,52,NA
1965,Lobatus gigas3,1150,NA
1965,Lobatus gigas4,38,NA
1965,Lobatus gigas5,1060,NA
1965,Lobatus gigas6,24,NA
1965,Lutjanus campechanus,1700,NA
1965,Menticirrhus littoralis,2541,NA
1965,Mugil cephalus,2200,NA
1965,Octopus spp,800,NA
1965,Opisthonema oglinum,487,NA
1965,Panulirus argus,9900,NA
1965,Panulirus argus2,1600,NA
1965,Panulirus argus3,4008,NA
1965,Sardinella aurita,43800,NA
1965,Thunnus atlanticus,2200,NA
1966,Callinectes sapidus,850,NA
1966,Centropomus spp,2700,NA
1966,Coryphaena hippurus,1635,NA
1966,Hirundichthys affinis,2800,NA
1966,Lobatus gigas,1500,NA
1966,Lobatus gigas2,55,NA
1966,Lobatus gigas3,1250,NA
1966,Lobatus gigas4,40,NA
1966,Lobatus gigas5,1060,NA
1966,Lobatus gigas6,25,NA
1966,Lutjanus campechanus,1800,NA
1966,Menticirrhus littoralis,2233,NA
1966,Mugil cephalus,1500,NA
1966,Octopus spp,1100,NA
1966,Opisthonema oglinum,1171,NA
1966,Panulirus argus,9800,NA
1966,Panulirus argus2,1700,NA
1966,Panulirus argus3,3727,NA
1966,Sardinella aurita,39100,NA
1966,Thunnus atlanticus,2000,NA
1967,Callinectes sapidus,900,NA
1967,Centropomus spp,2600,NA
1967,Coryphaena hippurus,2086,NA
